USU ID,ID,Site_type,Site,Vegtype,Sample_Type,TN%,P%,Ca%,K%,Mg%,S%,Al,As,B,Ba,Cd,Co,Cr,Cu,Fe,Mn,Mo,Na,Ni,Pb,Se,Si,Sr,Zn
3675,49,IBP,IBP-X,Carex,Leaves,2.57,0.17,0.09,1.09,0.09,0.14,7.61,0.0,4.83,5.00,0.0,0.24,0.14,1.91,146,33.1,0.92,473,1.00,0.89,1.00,640,2.83,37.9
3676,50,IBP,IBP-X,Carex,Roots,1.00,0.07,0.04,0.55,0.09,0.10,33.6,5.01,1.90,5.62,0.0,1.89,0.12,2.67,4633,22.7,0.11,459,1.62,0.18,1.00,108,2.55,50.4
3639,13,IBP,IBP-J,Arctophila,Leaves,2.60,0.18,0.04,1.21,0.07,0.15,3.61,0.09,2.45,1.65,0.0,0.20,0.15,1.79,195,7.93,0.27,248,1.31,0.67,2.95,434,1.50,42.2
3640,14,IBP,IBP-J,Arctophila,Roots,1.31,0.08,0.04,0.40,0.03,0.10,26.0,5.72,1.01,6.27,0.29,1.42,0.14,2.57,8225,9.18,0.27,2538,2.00,0.54,2.19,288,2.07,34.0
3637,11,IBP,IBP-J,Carex,Leaves,2.09,0.17,0.11,0.84,0.13,0.14,4.21,0.0,4.75,7.94,0.0,0.14,0.20,1.16,112,39.1,0.94,835,1.33,1.09,1.00,740,3.43,52.1
3638,12,IBP,IBP-J,Carex,Roots,0.73,0.08,0.05,0.34,0.11,0.06,21.8,12.5,2.15,9.90,0.33,3.77,0.13,2.11,9605,29.0,0.40,764,1.95,0.43,1.00,187,3.22,87.6
3635,9,IBP,IBP-D,Arctophila,Leaves,2.36,0.17,0.06,0.98,0.08,0.13,5.01,0.0,3.05,2.05,0.0,<,0.16,1.90,82.5,8.06,0.33,382,0.88,0.94,2.22,558,2.01,31.3
3636,10,IBP,IBP-D,Arctophila,Roots,1.10,0.07,0.03,0.37,0.03,0.07,17.5,2.75,0.59,3.17,0.11,0.83,0.11,2.74,3671,6.87,0.18,1341,1.16,0.32,1.54,138,1.73,26.0
3633,7,IBP,IBP-D,Carex,Leaves,2.24,0.18,0.09,0.99,0.10,0.13,5.51,0.0,4.00,4.50,0.0,<,0.28,2.01,98.9,28.9,0.31,628,1.37,0.67,6.51,367,3.09,37.1
3634,8,IBP,IBP-D,Carex,Roots,0.89,0.12,0.08,0.71,0.10,0.10,12.0,0.62,2.14,3.67,0.0,0.99,0.16,1.91,1910,64.1,0.12,579,1.21,0.0,2.43,49.4,3.53,56.1
